Numero de documentos del corpus: 4480
Numero de palabras del corpus: 362940
Palabra: abuse Frec: 11 LogProb: -10.513130834071198
Palabra: abuses Frec: 3 LogProb: -11.611743122739309
Palabra: abusive Frec: 1 LogProb: -12.304890303299254
Palabra: abyssinia Frec: 1 LogProb: -12.304890303299254
Palabra: acadameseinstead Frec: 1 LogProb: -12.304890303299254
Palabra: academia Frec: 11 LogProb: -10.513130834071198
Palabra: academic Frec: 129 LogProb: -8.130503033403617
Palabra: academically Frec: 1 LogProb: -12.304890303299254
Palabra: academicas Frec: 1 LogProb: -12.304890303299254
Palabra: academician Frec: 4 LogProb: -11.388599571425098
Palabra: academicians Frec: 1 LogProb: -12.304890303299254
Palabra: academicpearson Frec: 1 LogProb: -12.304890303299254
Palabra: academics Frec: 10 LogProb: -10.60014221106083
Palabra: academies Frec: 5 LogProb: -11.206278014631144
Palabra: academy Frec: 103 LogProb: -8.353646584717826
Palabra: academywith Frec: 2 LogProb: -11.899425195191089
Palabra: acadia Frec: 2 LogProb: -11.899425195191089
Palabra: acc Frec: 1 LogProb: -12.304890303299254
Palabra: accelerate Frec: 2 LogProb: -11.899425195191089
Palabra: accelerated Frec: 3 LogProb: -11.611743122739309
Palabra: accelerating Frec: 5 LogProb: -11.206278014631144
Palabra: acceleration Frec: 1 LogProb: -12.304890303299254
Palabra: accelerator Frec: 3 LogProb: -11.611743122739309
Palabra: accent Frec: 10 LogProb: -10.60014221106083
Palabra: accents Frec: 2 LogProb: -11.899425195191089
Palabra: accenture Frec: 2 LogProb: -11.899425195191089
Palabra: accept Frec: 19 LogProb: -10.002305210305208
Palabra: acceptable Frec: 1 LogProb: -12.304890303299254
Palabra: acceptance Frec: 17 LogProb: -10.107665725963034
Palabra: acceptancenorman Frec: 1 LogProb: -12.304890303299254
Palabra: accepted Frec: 15 LogProb: -10.225448761619418
Palabra: accepting Frec: 4 LogProb: -11.388599571425098
Palabra: access Frec: 65 LogProb: -8.808382741832773
Palabra: accessed Frec: 3 LogProb: -11.611743122739309
Palabra: accesses Frec: 1 LogProb: -12.304890303299254
Palabra: accessib Frec: 1 LogProb: -12.304890303299254
Palabra: accessibility Frec: 6 LogProb: -11.052127334803886
Palabra: accessible Frec: 125 LogProb: -8.161755576907721
Palabra: accessiblejeremy Frec: 1 LogProb: -12.304890303299254
Palabra: accessiblereading Frec: 1 LogProb: -12.304890303299254
Palabra: accessibly Frec: 1 LogProb: -12.304890303299254
Palabra: accession Frec: 1 LogProb: -12.304890303299254
Palabra: accessories Frec: 25 LogProb: -9.739940945837716
Palabra: accessory Frec: 5 LogProb: -11.206278014631144
Palabra: accident Frec: 9 LogProb: -10.695452390865153
Palabra: accidental Frec: 3 LogProb: -11.611743122739309
Palabra: accidentally Frec: 5 LogProb: -11.206278014631144
Palabra: accidentand Frec: 1 LogProb: -12.304890303299254
Palabra: accidentmodern Frec: 1 LogProb: -12.304890303299254
Palabra: accidents Frec: 4 LogProb: -11.388599571425098
Palabra: accidentthe Frec: 1 LogProb: -12.304890303299254
Palabra: acclaim Frec: 12 LogProb: -10.433088126397662
Palabra: acclaimed Frec: 79 LogProb: -8.616010849185317
Palabra: acclimated Frec: 2 LogProb: -11.899425195191089
Palabra: accolades Frec: 4 LogProb: -11.388599571425098
Palabra: accommodate Frec: 6 LogProb: -11.052127334803886
Palabra: accommodation Frec: 1 LogProb: -12.304890303299254
