Numero de documentos del corpus: 4070
Numero de palabras del corpus: 290337
Palabra: adhesives Frec: 1 LogProb: -12.125244838079778
Palabra: adidas Frec: 5 LogProb: -11.02663254941167
Palabra: aditi Frec: 2 LogProb: -11.719779729971615
Palabra: adjust Frec: 30 LogProb: -9.384404814154578
Palabra: adjustability Frec: 1 LogProb: -12.125244838079778
Palabra: adjustable Frec: 159 LogProb: -7.743218203405897
Palabra: adjusted Frec: 18 LogProb: -9.873953039473284
Palabra: adjuster Frec: 2 LogProb: -11.719779729971615
Palabra: adjusters Frec: 1 LogProb: -12.125244838079778
Palabra: adjusting Frec: 11 LogProb: -10.333485368851724
Palabra: adjustlable Frec: 1 LogProb: -12.125244838079778
Palabra: adjustment Frec: 2 LogProb: -11.719779729971615
Palabra: adjusts Frec: 1 LogProb: -12.125244838079778
Palabra: admirable Frec: 2 LogProb: -11.719779729971615
Palabra: admist Frec: 1 LogProb: -12.125244838079778
Palabra: adofo Frec: 1 LogProb: -12.125244838079778
Palabra: adonis Frec: 1 LogProb: -12.125244838079778
Palabra: adopts Frec: 2 LogProb: -11.719779729971615
Palabra: adorable Frec: 41 LogProb: -9.080722400356356
Palabra: adorably Frec: 1 LogProb: -12.125244838079778
Palabra: adore Frec: 4 LogProb: -11.208954106205624
Palabra: adoreva Frec: 1 LogProb: -12.125244838079778
Palabra: adoring Frec: 1 LogProb: -12.125244838079778
Palabra: adorn Frec: 16 LogProb: -9.985178674583508
Palabra: adorna Frec: 23 LogProb: -9.640338188291778
Palabra: adornatm Frec: 2 LogProb: -11.719779729971615
Palabra: adorned Frec: 9 LogProb: -10.515806925645679
Palabra: adorning Frec: 2 LogProb: -11.719779729971615
Palabra: adorns Frec: 1 LogProb: -12.125244838079778
Palabra: adpc Frec: 1 LogProb: -12.125244838079778
Palabra: adriana Frec: 2 LogProb: -11.719779729971615
Palabra: adro Frec: 4 LogProb: -11.208954106205624
Palabra: adsorption Frec: 1 LogProb: -12.125244838079778
Palabra: adult Frec: 29 LogProb: -9.417194636977568
Palabra: adults Frec: 15 LogProb: -10.045803296399942
Palabra: advance Frec: 6 LogProb: -10.87248186958441
